chr	pos	alpha A	beta A	alpha T	beta T	alpha G	beta G	alpha C	beta C
chr1	36931941	0.07760101827888308	3020.6058801400554	0.6790149099007092	8393.706367244884	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931942	0.14233206604533463	7152.577716325022	0.15745778996457072	10548.328319796294	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931943	0.13936219481017342	7461.22976036599	0.45936464100535995	12320.866391104015	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931944	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553	0.053429735629703316	10040.369025041506	0.24999944444444444	112499.50000055553
chr1	36931945	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931946	0.2663513503592888	13493.315394756006	0.13327010772724082	15258.381877928237	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931947	0.26338945442242506	6332.562828866239	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931948	0.6224468620634394	5134.425916153189	0.1303362833400389	12652.21909907179	0.13695519731547598	8363.461293629585	0.24999944444444444	112499.50000055553
chr1	36931949	0.8091703978652409	8142.118870052851	0.10165336472086434	10300.167619413858	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931950	0.24999944444444444	112499.50000055553	0.03448262280297875	8754.758620825472	0.11084648637005645	20027.86932003967	0.24999944444444444	112499.50000055553
chr1	36931951	0.13334205958700127	13120.921746449556	0.2951135801517106	18445.049760919057	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931952	0.10870969305338148	19582.742360175478	0.14084450968699805	14586.9763603581	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
chr1	36931953	0.24999944444444444	112499.50000055553	0.0698252268585638	18565.09645561857	0.11061095510732451	21077.161675914318	0.24999944444444444	112499.50000055553
chr1	36931954	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553	0.24999944444444444	112499.50000055553
